unique_entity_id,blank_deprecated,entity_eft_indicator,cage_code,dodaac,sam_extract_code,purpose_of_registration,initial_registration_date,registration_expiration_date,last_update_date,activation_date,legal_business_name,dba_name,entity_division_name,entity_division_number,physical_address_line_1,physical_address_line_2,physical_address_city,physical_address_province_or_state,physical_address_zip_postal_code,physical_address_zip_code_4,physical_address_country_code,physical_address_congressional_district,dnb_open_data_flag,entity_start_date,fiscal_year_end_close_date,entity_url,entity_structure,state_of_incorporation,country_of_incorporation,business_type_counter,bus_type_string,primary_naics,naics_code_counter,naics_code_string,psc_code_counter,psc_code_string,credit_card_usage,correspondence_flag,mailing_address_line_1,mailing_address_line_2,mailing_address_city,mailing_address_zip_postal_code,mailing_address_zip_code_4,mailing_address_country,mailing_address_state_or_province,govt_bus_poc_first_name,govt_bus_poc_middle_initial,govt_bus_poc_last_name,govt_bus_poc_title,govt_bus_poc_st_add_1,govt_bus_poc_st_add_2,govt_bus_poc_city,govt_bus_poc_zip_postal_code,govt_bus_poc_zip_code_4,govt_bus_poc_country_code,govt_bus_poc_state_or_province,alt_govt_bus_poc_first_name,alt_govt_bus_poc_middle_initial,alt_govt_bus_poc_last_name,alt_govt_bus_poc_title,alt_govt_bus_poc_st_add_1,alt_govt_bus_poc_st_add_2,alt_govt_bus_poc_city,alt_govt_bus_poc_zip_postal_code,alt_govt_bus_poc_zip_code_4,alt_govt_bus_poc_country_code,alt_govt_bus_poc_state_or_province,past_perf_poc_first_name,past_perf_poc_middle_initial,past_perf_poc_last_name,past_perf_poc_title,past_perf_poc_st_add_1,past_perf_poc_st_add_2,past_perf_poc_city,past_perf_poc_zip_postal_code,past_perf_poc_zip_code_4,past_perf_poc_country_code,past_perf_poc_state_or_province,alt_past_perf_poc_first_name,alt_past_perf_poc_middle_initial,alt_past_perf_poc_last_name,alt_past_perf_poc_title,alt_past_perf_poc_st_add_1,alt_past_perf_poc_st_add_2,alt_past_perf_poc_city,alt_past_perf_poc_zip_postal_code,alt_past_perf_poc_zip_code_4,alt_past_perf_poc_country_code,alt_past_perf_poc_state_or_province,elec_bus_poc_first_name,elec_bus_poc_middle_initial,elec_bus_poc_last_name,elec_bus_poc_title,elec_bus_poc_st_add_1,elec_bus_poc_st_add_2,elec_bus_poc_city,elec_bus_poc_zip_postal_code,elec_bus_poc_zip_code_4,elec_bus_poc_country_code,elec_bus_poc_state_or_province,alt_elec_poc_bus_poc_first_name,alt_elec_poc_bus_poc_middle_initial,alt_elec_poc_bus_poc_last_name,alt_elec_poc_bus_poc_title,alt_elec_poc_bus_st_add_1,alt_elec_poc_bus_st_add_2,alt_elec_poc_bus_city,alt_elec_poc_bus_zip_postal_code,alt_elec_poc_bus_zip_code_4,alt_elec_poc_bus_country_code,alt_elec_poc_bus_state_or_province,naics_exception_counter,naics_exception_string,debt_subject_to_offset_flag,exclusion_status_flag,sba_business_types_counter,sba_business_types_string,no_public_display_flag,disaster_response_counter,disaster_response_string,entity_evs_source
,C113JMW3WGS7,,,1XN91,,A,Z2,2002-04-22,2025-11-14,2024-11-22,2024-11-18,"WORKSOFT, INC.","CERTIFY WORKSOFT, INC.",,,15851 DALLAS PKWY STE 550,,ADDISON,TX,75001,,USA,32,,1998-02-19,1231,http://worksoft.com,2L,DE,USA,0001,2X,513210,0004,513210Y~541511Y~541512Y~541519E,0001,R799,N,,15851 DALLAS PKWY STE 550,,ADDISON,75001,,USA,TX,SHANNON,,O'BRIEN,ACCOUNTING MANAGER,15851 DALLAS PARKWAY,,ADDISON,75001,,USA,TX,COCO,,MUNIZ,CONTROLLER,15851 DALLAS PARKWAY,SUITE 550,ADDISON,75001,,USA,TX,RICHARD,,DONAHUE,CFO,15851 DALLAS PKWY SUITE 550,,ADDISON,75001,,USA,TX,,,,,,,,,,,,SHANNON,,O'BRIEN,ACCOUNTING MANAGER,15851 DALLAS PARKWAY,,ADDISON,75001,,USA,TX,RICHARD,,DONAHUE,CFO,15851 DALLAS PKWY SUITE 550,,ADDISON,75001,,USA,TX,0001,541519YY  ,N,,0000,,,0000,,E&Y
,C113MJ7NGPT9,,,94JU8,,A,Z2,2021-07-23,2025-12-06,2024-12-10,2024-12-10,MIDLAND SURVEYING & MAPPING JV,,,,501 N MARKET ST,,MARYVILLE,MO,64468,1616,USA,06,,2021-07-12,1231,,2K,MO,USA,0003,2X~JS~JX,541370,0001,541370Y,0004,R404~R425~T008~T009,N,,501 N MARKET ST,,MARYVILLE,64468,1616,USA,MO,ADAM,,TEALE,"PRESIDENT (MIDLAND SURVEYING, INC.)",501 N. MARKET,,MARYVILLE,64468,1616,USA,MO,KATIE,,SHEPHERD,,501 N MARKET ST,,MARYVILLE,64468,,USA,MO,ADAM,,TEALE,"PRESIDENT (MIDLAND SURVEYING, INC.)",501 N. MARKET ST.,,MARYVILLE,64468,,USA,MO,KATIE,,SHEPHERD,,501 N MARKET ST,,MARYVILLE,64468,,USA,MO,ADAM,,TEALE,"PRESIDENT (MIDLAND SURVEYING, INC.)",501 N. MARKET ST.,,MARYVILLE,64468,1616,USA,MO,KATIE,,SHEPHERD,,501 N MARKET ST,,MARYVILLE,64468,,USA,MO,0000,,N,,0000,,,0000,,
,C113QWMDV467,,,8BL33,,A,Z2,2019-03-18,2025-05-31,2024-06-04,2024-06-04,"WETHINK, INC.",WETHINK INC,"WETHINK, INC",,2779 E 380 N,,SAINT GEORGE,UT,84790,7342,USA,02,,2018-11-16,1231,www.wethinkteams.com,2L,DE,USA,0005,27~2X~8W~A2~PI,611710,0006,541511Y~541612Y~541715E~541720Y~611430Y~611710Y,0008,AF11~AF12~AF13~AF23~B506~B542~U008~U009,Y,,3556 S 5600 W,STE 1-1142,SALT LAKE CITY,84120,2815,USA,UT,KATRINA,,SALAZAR,,2779 E 380 N,,SAINT GEORGE,84790,7342,USA,UT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KATRINA,,SALAZAR,CEO,2779 E 380 N,,ST GEORGE,84790,7342,USA,UT,,,,,,,,,,,,0001,541715YYYY,N,,0000,,,0000,,E&Y
,C113Z4M6L444,,,818F7,,A,Z1,2017-12-20,2025-07-03,2024-07-09,2024-07-05,680 ST NICHOLAS OWNER LLC,,,,250 W 55TH ST,FL 35,NEW YORK,NY,10019,9710,USA,12,,2015-07-14,1231,,2K,NY,USA,0002,2X~LJ,,0000,,0000,,N,,250 W 55TH ST 35TH FL,,NEW YORK,10019,9710,USA,NY,CHANDA,,BROOKS,LEGAL ASSISTANT,250 W 55TH ST 35TH FL,,NEW YORK,10019,,USA,NY,NUBIA,,CABRERA,,250 W 55TH ST FL 35,35TH FLOOR,NEW YORK,10019,,USA,NY,,,,,,,,,,,,,,,,,,,,,,,SETH,,HOFFMAN,AUTHORIZED SIGNATORY,250 W 55TH ST 35TH FL,,NEW YORK,10019,,USA,NY,,,,,,,,,,,,0000,,N,,0000,,NPDY,0000,,E&Y
,C114HTL5ADV7,,,74884,,A,Z2,2007-03-23,2025-09-17,2024-09-18,2024-09-18,CUMMINS INC.,,,,1800 FRYAR AVE,,SUMNER,WA,98390,1529,USA,10,,1919-06-30,1231,cummins.com,2L,IN,USA,0002,2X~MF,333618,0008,333618N~335312N~336120N~336212N~336350N~336390N~423120N~811198N,0000,,Y,,4711 N. BASIN AVENUE,,PORTLAND,97217,3557,USA,OR,TODD,,KOBIELA,CORPORATE CREDIT MANAGER,500 JACKSON ST,,COLUMBUS,47201,,USA,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TODD,,KOBIELA,DIRECTOR GOVERNMENT,500 JACKSON ST,,COLUMBUS,47201,,USA,IN,,,,,,,,,,,,0000,,N,,0000,,,0001,ANY,E&Y
,C114QV5R7YX8,,,0DVS0,,A,Z2,2002-04-22,2025-10-01,2024-10-03,2024-10-03,"AMERIQUAL GROUP, LLC",,AMERIQUAL FOODS,,18200 HIGHWAY 41 N,,EVANSVILLE,IN,47725,8588,USA,08,,1987-06-28,1231,,2K,IN,USA,0003,2X~LJ~MF,311422,0004,311422N~311615N~311999N~312112N,0000,,Y,,18200 HIGHWAY 41 N,,EVANSVILLE,47725,8588,USA,IN,JOHN,,KNAPP,EXEC VP MARKETING,18200 HIGHWAY 41 N,,EVANSVILLE,47725,,USA,IN,LANA,,LIS,DIRECTOR GOVT SALES,18200 HIGHWAY 41 N,,EVANSVILLE,47725,,USA,IN,JOHN,,KNAPP,EXEC VP MARKETING,18200 HIGHWAY 41 N,,EVANSVILLE,47725,,USA,IN,LANA,,LIS,DIRECTOR GOVT SALES,18200 HIGHWAY 41 N,,EVANSVILLE,47725,,USA,IN,LANA,,LIS,DIRECTOR GOVT SALES,18200 HIGHWAY 41 N,,EVANSVILLE,47725,,USA,IN,,,,,,,,,,,,0000,,N,,0000,,,0001,ANY,E&Y
,C114XHYBQA97,,,8KWV3,,A,Z1,2020-04-27,2025-04-03,2024-04-08,2024-04-05,TALENTS OF OUR GENERATION INC,TALENTS OF OUR GENERATION INC,"TALENTS OF OUR GENERATION, INC.",,4302 PACES PARK DR,,DECATUR,GA,30033,5975,USA,04,,2012-12-06,1231,www.talentsofourgeneration.org,8H,GA,USA,0002,A8~H2,,0000,,0000,,N,,4302 PACES PARK DRIVE,,DECATUR,30033,,USA,GA,SAMANTHA,,RAO,,4302 PACES PARK DRIVE,,DECATUR,30033,,USA,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMANTHA,,RAO,,4302 PACES PARK DRIVE,,DECATUR,30033,,USA,GA,,,,,,,,,,,,0000,,N,,0000,,,0000,,E&Y
,C115HRKETCN8,,,6AYE2,,E,Z2,2011-03-07,2024-08-31,2024-08-31,2023-09-05,CONTEXT PARTNERS INC.,,,,1443 NW 7TH ST,,BEND,OR,97703,1729,USA,05,,2011-01-07,1231,https://contextpartners.com,2L,OR,USA,0002,2X~XS,541613,0002,541611Y~541613Y,0000,,N,,1443 NW 7TH ST,,BEND,97703,1729,USA,OR,DAVID,C,BROWN,CEO,1443 NW 7TH ST,,BEND,97703,1729,USA,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DAVID,C,BROWN,CEO,1443 NW 7TH ST,,BEND,97703,1729,USA,OR,,,,,,,,,,,,0000,,N,,0000,,,0000,,E&Y
,C115KDRBJH76,,,4N1Z2,,A,Z2,2007-01-23,2025-09-05,2024-09-09,2024-09-09,"INTERNATIONAL DIVERSIFIED MARKETING, INC.",INTERNATIONAL DIVERSIFIED MARKETING INC,"INTERNATIONAL DIVERSIFIED MARKETING, INC.",,18277 PASADENA ST,STE 102,LAKE ELSINORE,CA,92530,2790,USA,41,,2003-06-11,1231,http://www.Comfortfirstproducts.com,2L,WY,USA,0006,27~2X~8C~8W~A2~MF,333415,0007,221330Y~332999Y~333413Y~333414Y~333415Y~423730Y~423740Y,0005,4120~4130~4460~F101~H141,Y,,18277 PASADENA ST,STE B102,LAKE ELSINORE,92530,2790,USA,CA,JAN,R,NORTHCUTT,CEO,"18277 PASADENA ST, STE 102",,LAKE ELSINORE,92530,,USA,CA,JAN,R,NORTHCUTT,DIRECTOR,"18277 PASADENA ST, STE 102",,LAKE ELSINORE,92530,,USA,CA,JAN,R,NORTHCUTT,CEO,"18277 PASADENA ST, STE 102",,LAKE ELSINORE,92530,,USA,CA,JAN,R,NORTHCUTT,DIRECTOR,"18277 PASADENA ST, STE 102",,LAKE ELSINORE,92530,,USA,CA,JAN,R,NORTHCUTT,CEO,"18277 PASADENA ST, STE 102",,LAKE ELSINORE,92530,,USA,CA,JAN,R,NORTHCUTT,DIRECTOR,"18277 PASADENA ST, STE 102",,LAKE ELSINORE,92530,,USA,CA,0000,,N,,0000,,,0001,ANY,E&Y
,C115LCYAEBF3,,,7YVT7,,A,Z2,2017-09-05,2025-06-17,2024-06-19,2024-06-19,RDL PRIVATE UTILITY LOCATING LLC,,"RDL PRIVATE UTILITY LOCATING, LLC",RDL PRIVAT,7156 WEDDINGTON RD NW STE 190,,CONCORD,NC,28027,3485,USA,12,,2015-09-01,1231,www.rdllocating.com,2L,NC,USA,0009,23~27~2X~8E~8W~A2~HQ~LJ~OY,561990,0003,237130Y~561499Y~561990Y,0000,,Y,,7156 WEDDINGTON RD NW,STE 190,CONCORD,28027,3485,USA,NC,DARLENE,,LYONS,PRESIDENT,6012 BAYFIELD PARKWAY,,CONCORD,28027,,USA,NC,DARLENE,,LYONS,PRESIDENT,6012 BAYFIELD PARKWAY,,CONCORD,28027,,USA,NC,DARLENE,,LYONS,PRESIDENT,6012 BAYFIELD PARKWAY,,CONCORD,28027,,USA,NC,,,,,,,,,,,,DARLENE,,LYONS,PRESIDENT,6012 BAYFIELD PARKWAY,,CONCORD,28027,,USA,NC,DARLENE,,LYONS,PRESIDENT,6012 BAYFIELD PARKWAY,,CONCORD,28027,,USA,NC,0000,,N,,0000,,,0001,ANY,E&Y
,C115QBW3DCK7,,,3MVF6,,A,Z2,2003-12-10,2025-04-18,2024-04-22,2024-04-22,CITY OF THOMASVILLE,,"THOMASVILLE, CITY OF",,"111 VICTORIA PLACE, P.O. BOX 1540",,THOMASVILLE,GA,31799,1540,USA,02,,1899-10-03,1231,www.thomasville.org,2A,,,0002,12~C8,921190,0001,921190N,0000,,Y,,P.O. BOX 1540,,THOMASVILLE,31799,1540,USA,GA,DOROTHY,,WILLIARD,ASSISTANT CFO,P.O. BOX 1540,,THOMASVILLE,31799,,USA,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASHLEY,,CASON,CFO,P.O. BOX 1540,,THOMASVILLE,31799,,USA,GA,,,,,,,,,,,,0000,,N,,0000,,,0000,,E&Y
,C115ZDCMMR37,,,95DM6,,E,Z2,2021-08-20,2024-08-18,2024-08-18,2023-08-23,"SOLOMON'S WAY, INC.",SOLOMONS WAY INC,,,3225 MCLEOD DR,STE 100,LAS VEGAS,NV,89121,2257,USA,01,,2020-11-17,1231,https://www.solomonsway.us,8H,CT,USA,0006,23~A2~A8~G9~H2~HK,813219,0001,813219N,0000,,Y,,3225 MCLEOD DR,STE 100,LAS VEGAS,89121,2257,USA,NV,ZAFIR,,HUSSEIN,DIRECTOR,3225 MCLEOD DR,STE 100,LAS VEGAS,89121,,USA,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZAFIR,,HUSSEIN,DIRECTOR,3225 MCLEOD DR,STE 100,LAS VEGAS,89121,,USA,NV,,,,,,,,,,,,0000,,N,,0000,,,0001,ANY,E&Y
,C116BWQRZJW5,,,7H6N0,,A,Z1,2015-11-02,2026-01-13,2025-01-16,2025-01-14,WAYSIDE FOOD PROGRAMS,,,,135 WALTON ST,,PORTLAND,ME,04103,3491,USA,01,,1987-03-02,1231,www.waysidemaine.org,8H,ME,USA,0001,A8,,0000,,0000,,N,,P.O. BOX 1278,,PORTLAND,04104,,USA,ME,MARY,,ZWOLINSKI,EXECUTIVE DIRECTOR,PO BOX 1278,135 WALTON STREET,PORTLAND,04104,,USA,ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MARY,,ZWOLINSKI,EXECUTIVE DIRECTOR,PO BOX 1278,135 WALTON STREET,PORTLAND,04104,,USA,ME,,,,,,,,,,,,0000,,N,,0000,,,0000,,E&Y
